team,MP,FGA,FG%,3PA,3P%,2PA,2P%,FTA,FT%,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,Age,W,L,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,Offense_eFG%,Offense_TOV%,Offense_ORB%,Offense_FT/FGA,Defense_eFG%,Defense_TOV%,Defense_ORB%,Defense_FT/FGA,MVP,DPOY,sixth,COY,rounds
2011 Houston Rockets,242.4,85.1,0.454,22.5,0.367,62.6,0.486,25.4,0.801,11.7,31.1,23.8,7.1,4.5,13.5,20.0,105.9,26.5,43.0,39.0,2.18,0.19,2.37,111.3,109.0,2.3,94.2,0.299,0.264,0.55,0.503,12.3,27.4,0.239,0.5,12.6,72.7,0.219,0,0,0,0,-1
2011 Phoenix Suns,244.0,83.5,0.47,22.6,0.377,60.8,0.505,23.6,0.759,10.0,30.2,23.7,6.6,4.4,14.3,20.3,105.0,29.6,40.0,42.0,-0.89,0.43,-0.46,109.5,110.4,-0.9,94.4,0.283,0.271,0.559,0.522,13.2,23.7,0.215,0.513,13.1,71.6,0.211,0,0,0,0,-1
2011 Oklahoma City Thunder,244.0,80.6,0.464,17.1,0.347,63.5,0.495,29.3,0.823,11.0,31.8,20.4,8.0,5.9,14.1,22.4,104.8,23.7,55.0,27.0,3.79,0.02,3.81,111.2,107.2,4.0,92.7,0.363,0.212,0.561,0.501,13.1,27.4,0.299,0.493,12.9,73.6,0.228,0,0,0,0,2
2011 San Antonio Spurs,241.2,80.8,0.475,21.1,0.397,59.8,0.503,24.2,0.767,10.1,31.7,22.4,7.3,4.5,13.4,19.0,103.7,28.8,61.0,21.0,5.71,0.16,5.86,111.8,105.6,6.2,92.3,0.299,0.261,0.567,0.527,12.8,24.9,0.229,0.491,12.6,74.6,0.19,0,0,0,0,0
2011 Golden State Warriors,241.8,85.9,0.461,21.3,0.392,64.6,0.484,20.7,0.761,11.6,28.9,22.5,9.0,5.0,14.6,22.0,103.4,25.2,36.0,46.0,-2.33,0.33,-2.0,108.2,110.7,-2.5,94.8,0.241,0.248,0.544,0.51,13.3,26.7,0.183,0.509,14.5,69.3,0.259,0,0,0,0,-1
2011 Miami Heat,241.2,76.8,0.481,18.0,0.37,58.8,0.515,27.9,0.769,9.6,32.5,20.0,6.6,5.2,13.9,20.4,102.1,29.0,58.0,24.0,7.46,-0.71,6.76,111.7,103.5,8.2,90.9,0.363,0.235,0.573,0.524,13.5,25.2,0.279,0.475,12.6,75.5,0.223,0,0,0,0,3
2011 Los Angeles Lakers,241.8,82.4,0.463,18.1,0.352,64.3,0.494,24.1,0.779,12.1,31.9,22.0,7.3,5.1,13.1,19.0,101.5,30.2,57.0,25.0,6.11,-0.1,6.01,111.0,104.3,6.7,90.7,0.293,0.22,0.545,0.502,12.3,29.2,0.228,0.477,12.8,72.3,0.181,0,0,1,0,1
2011 Minnesota Timberwolves,241.2,85.5,0.441,19.1,0.376,66.5,0.459,24.1,0.768,13.2,31.2,20.1,7.2,5.1,17.0,22.3,101.1,23.8,17.0,65.0,-6.63,0.67,-5.97,104.2,111.1,-6.9,96.5,0.282,0.223,0.526,0.483,15.1,29.6,0.217,0.514,13.1,73.7,0.251,0,0,0,0,-1
2011 Dallas Mavericks,240.3,78.8,0.475,21.6,0.365,57.3,0.516,22.6,0.777,9.5,31.9,23.8,6.8,4.3,14.0,19.2,100.2,30.9,57.0,25.0,4.23,0.18,4.41,109.7,105.0,4.7,91.3,0.286,0.274,0.565,0.525,13.6,24.1,0.222,0.488,13.0,74.8,0.206,0,0,0,0,4
2011 Memphis Grizzlies,242.4,82.9,0.471,11.3,0.334,71.6,0.492,24.2,0.75,11.8,29.2,20.6,9.4,5.4,14.0,20.8,99.9,25.2,46.0,36.0,2.34,0.2,2.55,107.6,105.1,2.5,91.9,0.291,0.136,0.534,0.493,13.0,28.9,0.218,0.502,15.7,72.5,0.228,0,0,0,0,1
2011 Indiana Pacers,241.2,82.8,0.442,20.2,0.354,62.6,0.471,24.8,0.782,11.1,32.4,19.6,7.1,5.6,15.4,21.7,99.8,25.9,37.0,45.0,-1.07,-0.3,-1.38,104.8,106.0,-1.2,94.7,0.3,0.244,0.533,0.486,14.1,25.9,0.235,0.487,12.8,74.1,0.237,0,0,0,0,0
2011 Utah Jazz,242.4,80.4,0.465,15.3,0.346,65.0,0.493,25.1,0.771,11.0,28.5,23.4,7.7,5.9,14.3,22.7,99.4,26.8,39.0,43.0,-1.83,0.39,-1.44,108.1,110.1,-2.0,91.0,0.313,0.191,0.544,0.498,13.5,27.0,0.241,0.505,13.8,71.7,0.275,0,0,0,0,-1
